event_id,timestamp,port_id,port_name,disruption_type,description,severity,duration_hours,affected_shipments,economic_loss_usd,cascade_nodes,r_number,recovery_hours,antibody_match,detection_method,status
DIS-0001,2023-12-20 00:00,LK-CMB,Colombo,customs_delay,Customs clearance delay — documentation backlog,0.523,48,121,446588,2,2.13,64,AB-0002,document_intel,resolved
DIS-0002,2024-09-26 00:00,IN-JNPT,Nhava Sheva (JNPT),customs_delay,Customs clearance delay — documentation backlog,0.627,24,157,1516762,1,1.23,47,AB-0002,immune_memory,monitoring
DIS-0003,2023-06-09 00:00,ZA-DUR,Durban,equipment_failure,Crane/equipment failure — berth throughput reduced,0.717,24,156,1290663,4,3.22,52,AB-0003,sensor_network,ongoing
DIS-0004,2025-03-15 00:00,ZA-DUR,Durban,equipment_failure,Crane/equipment failure — berth throughput reduced,0.543,12,352,4772471,3,1.5,18,AB-0002,manual,ongoing
DIS-0005,2025-01-25 00:00,IN-KOL,Kolkata Port,labor_strike,Labor union strike — port operations halted,0.727,48,356,806105,1,2.28,102,AB-0004,crowdsource,monitoring
DIS-0006,2023-11-13 00:00,TH-LCH,Laem Chabang,equipment_failure,Crane/equipment failure — berth throughput reduced,0.541,168,254,2124763,3,2.13,321,AB-0005,immune_memory,monitoring
DIS-0007,2023-05-07 00:00,IN-KND,Kandla Port,geopolitical_tension,Geopolitical tension — route advisory issued,0.866,120,433,1248699,7,2.23,269,AB-0002,immune_memory,ongoing
DIS-0008,2025-04-29 00:00,IN-KOC,Kochi Port,fuel_price_spike,Fuel price spike — bunker surcharge increased,0.398,48,498,5399410,0,1.16,101,AB-0001,document_intel,resolved
DIS-0009,2024-06-26 00:00,CN-SZX,Shenzhen,weather_cyclone,Cyclone warning — vessel rerouting required,0.878,24,20,298479,3,0.9,45,AB-0005,sensor_network,resolved
DIS-0010,2024-08-20 00:00,IN-KOL,Kolkata Port,cyber_attack,Cyber attack on port community system,0.797,48,106,737580,3,1.08,110,AB-0002,immune_memory,resolved
DIS-0011,2023-09-22 00:00,DE-HAM,Hamburg,weather_cyclone,Cyclone warning — vessel rerouting required,0.944,12,373,4823306,7,0.57,25,AB-0002,sensor_network,ongoing
DIS-0012,2025-01-18 00:00,US-LAX,Los Angeles,cyber_attack,Cyber attack on port community system,0.587,120,158,793400,3,2.95,177,AB-0003,sensor_network,ongoing
DIS-0013,2023-12-27 00:00,ZA-DUR,Durban,geopolitical_tension,Geopolitical tension — route advisory issued,0.832,8,385,5711548,5,2.5,10,AB-0005,immune_memory,resolved
DIS-0014,2024-01-12 00:00,TH-LCH,Laem Chabang,pandemic_restriction,Pandemic-related port restriction,0.556,24,275,913265,0,3.18,43,AB-0003,immune_memory,ongoing
DIS-0015,2023-12-10 00:00,CN-SHA,Shanghai,customs_delay,Customs clearance delay — documentation backlog,0.44,48,314,4385556,1,0.89,58,AB-0005,sensor_network,monitoring
DIS-0016,2023-01-02 00:00,CN-SHA,Shanghai,labor_strike,Labor union strike — port operations halted,0.736,48,266,1261705,2,3.11,85,NEW,sensor_network,ongoing
DIS-0017,2024-12-31 00:00,IN-VIZ,Visakhapatnam Port,fuel_price_spike,Fuel price spike — bunker surcharge increased,0.613,24,277,1599296,4,2.33,46,AB-0004,crowdsource,ongoing
DIS-0018,2023-10-10 00:00,CN-SZX,Shenzhen,cyber_attack,Cyber attack on port community system,0.791,72,148,807053,3,1.13,164,NEW,document_intel,resolved
DIS-0019,2023-04-21 00:00,IN-PAR,Paradip Port,labor_strike,Labor union strike — port operations halted,0.72,336,389,4627609,2,1.54,745,AB-0005,crowdsource,resolved
DIS-0020,2023-04-15 00:00,IN-MUN,Mundra Port,container_shortage,Container shortage — 40ft HC unavailable,0.655,336,460,6221627,5,2.19,687,AB-0001,crowdsource,resolved
DIS-0021,2024-05-18 00:00,JP-YOK,Yokohama,customs_delay,Customs clearance delay — documentation backlog,0.423,12,24,299659,2,0.65,27,AB-0005,immune_memory,monitoring
DIS-0022,2023-07-13 00:00,IN-HAZ,Hazira Port,port_congestion,Port congestion — vessel queuing exceeds 48h,0.654,12,188,826928,3,2.06,29,NEW,immune_memory,resolved
DIS-0023,2023-04-07 00:00,DE-HAM,Hamburg,customs_delay,Customs clearance delay — documentation backlog,0.442,4,315,1359633,1,0.46,5,AB-0002,immune_memory,resolved
DIS-0024,2023-05-05 00:00,IN-KND,Kandla Port,cyber_attack,Cyber attack on port community system,0.736,120,309,2816206,2,2.22,181,AB-0003,sensor_network,resolved
