doc_id,doc_type,supplier,port_id,country,route,amount,expected_amount,deviation,payment_terms,date,signals,status,anomaly_score,commodity,currency
IN-2025-00001,Insurance Certificate,Yokohama Precision Instruments,JP-YOK,JP,JP-YOK → IN-HAZ,247403,231515,0.0686,Net 30,2025-08-08,Minor deviation from baseline,review,0.391,Pharmaceuticals,INR
PU-2026-00002,Purchase Order,Durban Mining Corp.,ZA-DUR,ZA,ZA-DUR → IN-JNPT,514412,510826,0.007,Net 15,2026-01-22,,normal,0.032,Steel & Iron,SGD
PU-2025-00003,Purchase Order,Rotterdam Chemicals BV,NL-RTM,NL,NL-RTM → IN-KND,63817,59925,0.0649,LC at Sight,2025-08-18,Seasonal adjustment,review,0.252,Steel & Iron,INR
IN-2025-00004,Invoice,Bangalore Biotech Solutions,IN-BLR,IN,IN-BLR → IN-CHN,703555,705804,-0.0032,LC at Sight,2025-07-03,,normal,0.017,Medical Devices,SGD
IN-2026-00005,Invoice,Shanghai Electronics Co. Ltd.,CN-SHA,CN,CN-SHA → IN-KND,925331,788228,0.1739,LC 60 Days,2026-03-13,Cost overrun >10%|Insurance premium adjustment,alert,0.76,Electronics,EUR
PA-2025-00006,Packing List,Yokohama Precision Instruments,JP-YOK,JP,JP-YOK → IN-KND,309041,232376,0.3299,LC at Sight,2025-07-06,Compliance review needed|Material substitution flagged|Critical cost overrun >20%|Insurance premium spike|Sanctions list match,critical,1.0,Automobile Parts,USD
BI-2026-00007,Bill of Lading,Bangalore Biotech Solutions,IN-BLR,IN,IN-BLR → IN-KOC,721457,592592,0.2175,Net 15,2026-03-03,Critical cost overrun >20%|Expedited shipping requested|Insurance premium spike|New intermediary entity detected|Payment terms changed,critical,1.0,Steel & Iron,EUR
IN-2025-00008,Invoice,Bangalore Biotech Solutions,IN-BLR,IN,IN-BLR → IN-PAR,663826,627210,0.0584,LC 60 Days,2025-06-27,Seasonal adjustment,review,0.336,Pharmaceuticals,EUR
BI-2026-00009,Bill of Lading,Singapore Tech Pte. Ltd.,SG-SIN,SG,SG-SIN → IN-KOC,453016,460730,-0.0167,Net 60,2026-02-01,,normal,0.088,Machinery,EUR
IN-2026-00010,Insurance Certificate,Gujarat Chemical Industries,IN-MUN,IN,IN-MUN → IN-MUN,37900,35396,0.0707,Advance Payment,2026-03-14,,review,0.276,Pharmaceuticals,INR
IN-2025-00011,Insurance Certificate,Shenzhen Micro-Tech Industries,CN-SZX,CN,CN-SZX → IN-KOC,602047,638140,-0.0566,Net 30,2025-11-21,Minor deviation from baseline,review,0.26,Agricultural Products,INR
PA-2025-00012,Packing List,Mumbai Pharma Exports Pvt. Ltd.,IN-JNPT,IN,IN-JNPT → IN-PAR,224234,246931,-0.0919,LC 60 Days,2025-09-25,,review,0.549,Steel & Iron,INR
PU-2025-00013,Purchase Order,Durban Mining Corp.,ZA-DUR,ZA,ZA-DUR → IN-KND,350198,360494,-0.0286,Net 45,2025-12-29,,normal,0.099,Machinery,INR
